name	lig_cov	poc_cov	lig_name	4A_crit	volume	hull	surface	lid	depth	surf/vol	lid/hull	ellVol	ell c/a	ell b/a	siteAtms	accept	donor	aromat	hydrophobicity	metal	Cs	Ns	Os	Ss	Xs	negAA	posAA	polarAA	apolarAA	sumAA	ALA	ARG	ASN	ASP	CSO	CYS	GLN	GLU	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL	A	C	G	U	I	N	DA	DC	DG	DT	DN	UNK	simpleScore	drugScore
3f17_clean_P_1	100	45.665	HS4_A_0	1	663.616	721.28	591.36	129.92	23.1517	0.356447	0.180124	2072.97	0.0894189	0.145819	112	18	16	19	0.705357	0	79	15	18	0	0	1	7	7	12	27	2	1	1	0	0	0	0	1	1	4	1	3	2	0	2	2	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.538093	0.600366
3f17_clean_P_2	0	0	non	0	485.696	587.2	476.16	111.04	21.7844	0.392147	0.189101	1127.1	0.0553199	0.0778656	107	14	15	14	0.738318	0	78	14	14	1	0	1	2	7	10	20	1	1	3	1	0	0	1	0	0	0	2	2	1	1	2	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.517946	0.493648
3f17_clean_P_3	0	0	non	0	197.376	265.44	204.64	60.8	11.655	0.414721	0.229054	140.484	0.151126	0.234576	53	10	9	2	0.641509	0	33	9	10	1	0	2	1	5	5	13	1	1	0	2	0	0	0	0	4	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016379	0.342963
3f17_clean_P_4	0	0	non	0	145.664	200.8	161.76	39.04	9.64158	0.4442	0.194422	61.5798	0.309941	0.428637	54	6	12	13	0.703704	0	38	10	6	0	0	0	2	4	3	9	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133963	0.232836
3f17_clean_P_5	0	0	non	0	106.88	158.08	134.24	23.84	6.99714	0.502395	0.15081	33.7326	0.565986	0.666746	42	8	8	1	0.642857	0	26	7	8	1	0	2	1	3	5	11	1	0	0	2	0	0	0	0	2	1	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301337
4de1_clean_P_1	100	55.3094	0J6_B_30	1	459.264	565.28	427.2	138.08	17.3113	0.372074	0.244268	1250.63	0.0782186	0.232393	103	26	23	6	0.592233	0	61	16	26	0	0	3	3	19	2	27	0	1	4	2	0	0	0	1	2	0	0	1	2	0	0	1	5	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0939985	0.363771
4de1_clean_P_2	0	0	non	0	428.16	672.48	581.12	91.36	17.6454	0.5429	0.135855	4141.65	0.294661	0.659594	126	20	16	7	0.730159	0	91	15	20	0	0	2	1	5	21	29	5	1	0	2	0	0	2	0	1	0	5	5	0	0	0	2	0	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.4664	0.173447
4de1_clean_P_3	0	0	non	0	416.96	606.56	537.44	69.12	18.8425	0.515579	0.113954	2395.66	0.223081	0.475434	148	26	25	9	0.682432	0	96	25	26	1	0	2	4	12	11	29	1	4	2	2	0	1	1	0	1	0	1	2	0	1	2	4	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332982	0.0965031
4de1_clean_P_4	0	0	non	0	141.952	232.16	200.48	31.68	10.1823	0.564923	0.136458	113.383	0.179553	0.465091	51	9	8	0	0.666667	0	34	8	9	0	0	0	2	3	8	13	2	2	1	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.0394843	0.25851
4de1_clean_P_5	0	0	non	0	139.072	189.6	142.08	47.52	8.52291	0.408652	0.250633	54.6947	0.199299	0.368575	39	6	10	0	0.615385	0	24	9	6	0	0	1	1	7	3	12	0	0	1	0	0	0	4	1	0	0	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321253
4de1_clean_P_6	0	0	non	0	135.936	183.68	138.56	45.12	8.69943	0.407721	0.245645	49.0724	0.371112	0.738518	37	7	6	0	0.648649	0	24	6	7	0	0	0	1	2	5	8	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253992
1sln_clean_P_1	77.4648	38.2149	INH_A_25	1	868.352	950.56	727.36	223.2	28.1425	0.335053	0.234809	6239.12	0.0501006	0.155154	158	25	25	30	0.689873	0	108	28	22	0	0	3	7	7	17	34	4	2	1	1	0	0	0	2	0	5	0	6	0	1	3	1	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0.593693	0.602352
1sln_clean_P_2	0	0	non	0	244.992	313.12	214.72	98.4	10.7778	0.350575	0.314257	235.642	0.120723	0.180848	55	11	9	3	0.636364	0	34	10	11	0	0	3	3	3	4	13	1	1	1	2	0	0	0	1	2	0	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0334885	0.367326
1sln_clean_P_3	0	0	non	0	216.704	286.24	241.44	44.8	12.9368	0.445659	0.156512	154.02	0.169843	0.426718	62	9	9	4	0.725806	0	45	8	9	0	0	1	2	3	8	14	2	0	1	1	0	0	0	0	0	0	0	3	2	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.277689	0.261377
1sln_clean_P_4	0	0	non	0	188.16	264.96	191.68	73.28	12.4836	0.407483	0.27657	116.858	0.102469	0.210879	45	4	2	7	0.866667	0	39	2	4	0	0	1	3	0	6	10	0	1	0	0	0	0	0	1	0	0	1	1	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.609005	0.910781
1sln_clean_P_5	0	0	non	0	113.92	165.44	125.6	39.84	8.24621	0.441011	0.240812	37.7084	0.454653	0.615269	43	6	6	7	0.744186	0	32	5	6	0	0	2	2	2	3	9	0	1	0	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.194916	0.106859
1sln_clean_P_6	0	0	non	0	112.32	219.04	217.92	1.12	11.1068	0.776068	0.00511322	104.593	0.166207	0.29685	62	7	5	12	0.806452	0	50	5	7	0	0	1	0	3	14	18	3	0	1	0	0	0	0	1	0	0	4	1	0	1	2	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0.404323	0.0542872
1gpk_clean_P_1	100	35.4598	HUP_A_15	1	867.776	982.56	914.4	68.16	19.956	0.421491	0.0693698	4618.72	0.254519	0.407624	194	28	26	74	0.752577	0	145	21	28	0	0	2	2	20	18	42	1	1	1	1	0	0	1	1	7	1	3	2	0	0	5	1	5	0	5	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0.793469	0.89018
1gpk_clean_P_2	0	0	non	0	294.464	338.72	249.44	89.28	10.1587	0.338839	0.263581	275.595	0.219741	0.425978	64	8	5	15	0.796875	0	48	8	8	0	0	2	3	4	6	15	0	0	2	1	0	2	0	1	0	3	0	2	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521852	0.678033
